area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;001601;063;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2713;102,128776766915;010150001601;01015000160106301;010150001601063011;202605
1;010150;001601;063;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;102,128776766915;010150001601;01015000160106302;010150001601063021;202605
1;010150;001601;063;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;102,128776766915;010150001601;01015000160106303;010150001601063031;202605
1;010150;001601;063;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;102,128776766915;010150001601;01015000160106304;010150001601063041;202605
1;010150;001601;063;05;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;102,128776766915;010150001601;01015000160106305;010150001601063051;202605
1;010150;001601;063;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2713;102,128776766915;010150001601;01015000160106306;010150001601063061;202605
1;010150;001601;063;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;102,128776766915;010150001601;01015000160106307;010150001601063071;202605
1;010150;002502;081;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;100,999276970707;010150002502;01015000250208101;010150002502081011;202605
1;010150;002502;081;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;100,999276970707;010150002502;01015000250208102;010150002502081021;202605
1;010150;002502;081;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;100,999276970707;010150002502;01015000250208103;010150002502081031;202605
1;010150;002502;081;04;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;100,999276970707;010150002502;01015000250208104;010150002502081041;202605
1;010150;002502;081;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;100,999276970707;010150002502;01015000250208105;010150002502081051;202605
1;010150;002502;081;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;100,999276970707;010150002502;01015000250208106;010150002502081061;202605
1;010150;002502;081;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;100,999276970707;010150002502;01015000250208107;010150002502081071;202605
1;010150;005702;063;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;186,524615509752;010150005702;01015000570206301;010150005702063011;202605
1;010150;005702;063;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;186,524615509752;010150005702;01015000570206302;010150005702063021;202605
1;010150;005702;063;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;186,524615509752;010150005702;01015000570206303;010150005702063031;202605
1;010150;005702;063;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;186,524615509752;010150005702;01015000570206304;010150005702063041;202605
1;010150;005702;063;05;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;186,524615509752;010150005702;01015000570206305;010150005702063051;202605
1;010150;005702;063;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;186,524615509752;010150005702;01015000570206306;010150005702063061;202605
1;010150;005702;063;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;186,524615509752;010150005702;01015000570206307;010150005702063071;202605
1;010150;005903;066;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;672,375017372711;010150005903;01015000590306601;010150005903066011;202605
1;010150;005903;066;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;672,375017372711;010150005903;01015000590306602;010150005903066021;202605
1;010150;005903;066;03;1;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2713;672,375017372711;010150005903;01015000590306603;010150005903066031;202605
1;010150;005903;066;04;1;2;2;1;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;672,375017372711;010150005903;01015000590306604;010150005903066041;202605
1;010150;005903;066;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2713;672,375017372711;010150005903;01015000590306605;010150005903066051;202605
1;010150;005903;066;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;672,375017372711;010150005903;01015000590306606;010150005903066061;202605
1;010150;005903;066;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;672,375017372711;010150005903;01015000590306607;010150005903066071;202605
1;010150;006002;083;01;1;2;2;1;1;1;1;2;2;1;1;2;2;3;2;3;2;2712;194,037768294541;010150006002;01015000600208301;010150006002083011;202605
1;010150;006002;083;02;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;194,037768294541;010150006002;01015000600208302;010150006002083021;202605
1;010150;006002;083;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;194,037768294541;010150006002;01015000600208303;010150006002083031;202605
1;010150;006002;083;04;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2712;194,037768294541;010150006002;01015000600208304;010150006002083041;202605
1;010150;006002;083;06;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;194,037768294541;010150006002;01015000600208306;010150006002083061;202605
